Simplified,Translation,Traditional,Pinyin
豺的体型比狐狸大。,Chó sói to hơn sói cáo.,豺的體型比狐狸大。,chái de tǐxíng bǐ húlí dà 。
豺在遇到危险时会发出警告声。,"Khi gặp nguy hiểm, chó sói sẽ phát ra tiếng cảnh báo.",豺在遇到危險時會發出警告聲。,chái zài yùdào wēixiǎn shíhuì fāchū jǐnggàoshēng 。
豺的行动敏捷，善于捕捉猎物。,Chó sói linh hoạt và giỏi săn mồi.,豺的行動敏捷，善於捕捉獵物。,chái de xíngdòngmǐnjié ， shànyú bǔzhuō lièwù 。
豺有时会袭击人类。,Chó sói đôi khi tấn công con người.,豺有時會襲擊人類。,chái yǒushí huì xíjī rénlèi 。
豺的视力和听力都很敏锐。,Chó sói có thị lực và thính lực rất nhạy bén.,豺的視力和聽力都很敏銳。,chái de shìlì hé tīnglì dōu hěn mǐnruì 。
豺在食物匮乏时会变得凶猛。,"Khi thức ăn khan hiếm, chó sói trở nên hung dữ.",豺在食物匱乏時會變得兇猛。,chái zài shíwù kuìfá shíhuì biàndé xiōngměng 。
豺通常在夜间活动，但也会在白天出现。,"Chó sói thường hoạt động vào ban đêm, nhưng cũng có thể xuất hiện vào ban ngày.",豺通常在夜間活動，但也會在白天出現。,chái tōngcháng zài yèjiān huódòng ， dàn yě huì zài báitiān chūxiàn 。
他的面貌给人留下深刻印象。,Anh ấy để lại ấn tượng sâu sắc qua vẻ mặt.,他的面貌給人留下深刻印象。,tā de miànmào gěi rén liúxià shēnkèyìnxiàng 。
那个男孩的外貌和他的性格一样吸引人。,Vẻ ngoài của cậu bé hấp dẫn như tính cách của cậu ấy.,那個男孩的外貌和他的性格一樣吸引人。,nàge nánhái de wàimào hé tā de xìnggé yīyàng xīyǐn rén 。
他虽然貌不惊人，但才华横溢。,Anh ta không có vẻ ngoài nổi bật nhưng rất tài năng.,他雖然貌不驚人，但才華橫溢。,tā suīrán màobùjīngrén ， dàn cáihuáhéngyì 。
她的笑容很能打动人，貌美如花。,"Nụ cười của cô ấy rất dễ thương, đẹp như hoa.",她的笑容很能打動人，貌美如花。,tā de xiàoróng hěnnéng dǎdòng rén ， màoměirúhuā 。
她的眉眼带笑，貌如花颜。,"Miệng cười, mắt mỉm, trông đẹp như hoa.",她的眉眼帶笑，貌如花顏。,tā de méiyǎn dàixiào ， mào rúhuāyán 。
那个演员的外貌很能体现角色的精髓。,Vẻ ngoài của diễn viên đó thể hiện được bản chất của nhân vật.,那個演員的外貌很能體現角色的精髓。,nàge yǎnyuán de wàimào hěnnéng tǐxiàn juésè de jīngsuǐ 。
她总是妆容精致，貌美如花。,"Cô ấy luôn trang điểm kỹ lưỡng, đẹp như hoa.",她總是妝容精緻，貌美如花。,tā zǒngshì zhuāngróng jīngzhì ， màoměirúhuā 。
他的表情丰富，貌如其人。,"Vẻ mặt của anh ấy phong phú, như thể người và vẻ mặt giống nhau.",他的表情豐富，貌如其人。,tā de biǎoqíngfēngfù ， mào rúqírén 。
那个模特的外貌非常符合设计师的预期。,Vẻ ngoài của người mẫu phù hợp với mong đợi của nhà thiết kế.,那個模特的外貌非常符合設計師的預期。,nàge mótè de wàimào fēicháng fúhé shèjìshī de yùqī 。
他的眼神深邃，貌含哲理。,"Nhìn mắt anh ấy rất sâu sắc, chứa đựng tri thức.",他的眼神深邃，貌含哲理。,tā de yǎnshén shēnsuì ， mào hán zhélǐ 。
那个老人的面貌充满了岁月的痕迹，令人尊敬。,"Vẻ mặt của người già kia đầy dấu vết của thời gian, đáng kính.",那個老人的面貌充滿了歲月的痕跡，令人尊敬。,nàge lǎorén de miànmào chōngmǎn le suìyuè de hénjì ， lìngrénzūnjìng 。
他有责任确保所有员工的安全。,Anh ta có trách nhiệm đảm bảo an toàn cho tất cả nhân viên.,他有責任確保所有員工的安全。,tā yǒu zérèn quèbǎo suǒyǒu yuángōng de ānquán 。
老师责备学生不应该在课堂上吃东西。,Giáo viên đã trách học sinh không nên ăn trong lớp học.,老師責備學生不應該在課堂上喫東西。,lǎoshī zébèi xuéshēng bù yīnggāi zài kètáng shàng chī dōngxī 。
公司领导对他完成任务的能力负有责任。,Lãnh đạo công ty có trách nhiệm về khả năng hoàn thành nhiệm vụ của anh ấy.,公司領導對他完成任務的能力負有責任。,gōngsī lǐngdǎo duì tā wánchéng rènwù de nénglì fùyǒuzérèn 。
医生对病人的健康负责，必须尽全力救治。,"Y sĩ có trách nhiệm về sức khỏe của bệnh nhân, phải cố gắng hết sức để cứu chữa.",醫生對病人的健康負責，必須盡全力救治。,yīshēng duì bìngrén de jiànkāng fùzé ， bìxū jìnquánlì jiùzhì 。
他被责怪没有按时完成任务。,Anh ta bị trách vì không hoàn thành nhiệm vụ đúng hạn.,他被責怪沒有按時完成任務。,tā bèi zéguài méiyǒu ànshí wánchéng rènwù 。
家长有责任教育孩子诚实守信。,Cha mẹ có trách nhiệm giáo dục con cái phải chân thành và trung thực.,家長有責任教育孩子誠實守信。,jiāzhǎng yǒu zérèn jiàoyù háizi chéngshí shǒuxìn 。
他因为没有认真对待工作而受到责备。,Anh ta bị trách vì không cẩn thận với công việc.,他因爲沒有認真對待工作而受到責備。,tā yīnwèi méiyǒu rènzhēnduìdài gōngzuò ér shòudào zébèi 。
领导对团队的表现负有责任。,Lãnh đạo có trách nhiệm về hiệu suất của đội ngũ.,領導對團隊的表現負有責任。,lǐngdǎo duì tuánduì de biǎoxiàn fùyǒuzérèn 。
学校对学生的安全负有重要责任。,Trường học có trách nhiệm quan trọng về sự an toàn của học sinh.,學校對學生的安全負有重要責任。,xuéxiào duì xuéshēng de ānquán fùyǒu zhòngyào zérèn 。
父母对子女的教育负有主要责任。,Cha mẹ có trách nhiệm chính trong việc giáo dục con cái.,父母對子女的教育負有主要責任。,fùmǔ duì zǐnǚ de jiàoyù fùyǒu zhǔyào zérèn 。
公司对环保负有不可推卸的责任。,Công ty có trách nhiệm không thể tránh khỏi về bảo vệ môi trường.,公司對環保負有不可推卸的責任。,gōngsī duì huánbǎo fùyǒu bùkě tuīxiè de zérèn 。
他因未能按时提交报告而受到责备。,Anh ta bị trách vì không nộp báo cáo đúng hạn.,他因未能按時提交報告而受到責備。,tā yīn wèinéng ànshí tíjiāo bàogào ér shòudào zébèi 。
政府有责任保护公民的隐私权。,Chính phủ có trách nhiệm bảo vệ quyền riêng tư của công dân.,政府有責任保護公民的隱私權。,zhèngfǔ yǒu zérèn bǎohù gōngmín de yǐnsīquán 。
他因疏忽大意而被责备。,Anh ta bị trách vì chủ quan.,他因疏忽大意而被責備。,tā yīn shūhūdàyì ér bèi zébèi 。
公司必须对消费者负责。,Công ty phải có trách nhiệm với người tiêu dùng.,公司必須對消費者負責。,gōngsī bìxū duì xiāofèizhě fùzé 。
老师对学生的成长负有责任。,Giáo viên có trách nhiệm với sự phát triển của học sinh.,老師對學生的成長負有責任。,lǎoshī duì xuéshēng de chéngzhǎng fùyǒuzérèn 。
医生对病人的治疗结果负有责任。,Y sĩ có trách nhiệm với kết quả điều trị của bệnh nhân.,醫生對病人的治療結果負有責任。,yīshēng duì bìngrén de zhìliáo jiéguǒ fùyǒuzérèn 。
他因未能完成任务而被责备。,Anh ta bị trách vì không hoàn thành nhiệm vụ.,他因未能完成任務而被責備。,tā yīn wèinéng wánchéng rènwù ér bèi zébèi 。
公司对产品质量负有责任。,Công ty có trách nhiệm về chất lượng sản phẩm.,公司對產品質量負有責任。,gōngsī duì chǎnpǐnzhìliàng fùyǒuzérèn 。
他因未能遵守公司规定而受到责备。,Anh ta bị trách vì không tuân thủ quy định của công ty.,他因未能遵守公司規定而受到責備。,tā yīn wèinéng zūnshǒu gōngsī guīdìng ér shòudào zébèi 。
他太贪玩，结果作业没写。,Anh ấy quá say mê chơi nên bài tập về nhà không làm được.,他太貪玩，結果作業沒寫。,tā tài tānwán ， jiéguǒ zuòyè méi xiě 。
她贪恋那份工作，不愿辞职。,Cô ấy say mê công việc đó nên không muốn từ bỏ.,她貪戀那份工作，不願辭職。,tā tānliàn nà fèn gōngzuò ， bùyuàn cízhí 。
贪心的他总是希望有更多的钱。,Anh ta luôn mong muốn có thêm nhiều tiền.,貪心的他總是希望有更多的錢。,tānxīn de tā zǒngshì xīwàng yǒu gèng duō de qián 。
贪吃的他一口气吃了三个汉堡。,Anh ta ăn cả ba cái hamburger một lúc.,貪喫的他一口氣喫了三個漢堡。,tānchī de tā yìkǒuqì chī le sāngè hànbǎo 。
贪图安逸，他没有好好学习。,Anh ta chỉ thích an nhàn nên không học bài nghiêm túc.,貪圖安逸，他沒有好好學習。,tāntúānyì ， tā méiyǒu hǎohǎoxuéxí 。
他贪恋美景，停在了山顶。,Anh ta say mê cảnh đẹp nên dừng lại ở đỉnh núi.,他貪戀美景，停在了山頂。,tā tānliàn měijǐng ， tíng zài le shāndǐng 。
贪图小利，他做出了错误的决定。,Anh ta chỉ vì lợi nhỏ nên đã đưa ra quyết định sai lầm.,貪圖小利，他做出了錯誤的決定。,tāntú xiǎolì ， tā zuòchū le cuòwù de juédìng 。
贪图方便，他选择了搭便车。,Anh ta chỉ vì tiện lợi nên đã chọn đi xe của người khác.,貪圖方便，他選擇了搭便車。,tāntú fāngbiàn ， tā xuǎnzé le dābiànchē 。
贪得无厌，他想要更多。,Anh ta tham lam và muốn có thêm.,貪得無厭，他想要更多。,tāndéwúyàn ， tā xiǎngyào gèng duō 。
贪图享乐，他经常出入夜店。,Anh ta chỉ vì ham vui nên thường xuyên vào các quán bar.,貪圖享樂，他經常出入夜店。,tāntúxiǎnglè ， tā jīngcháng chūrù yèdiàn 。
贪小便宜，他捡起了地上的钱包。,Anh ta chỉ vì ham tiện lợi nên đã nhặt chiếc ví trên mặt đất.,貪小便宜，他撿起了地上的錢包。,tānxiǎopiányí ， tā jiǎnqǐ le dìshàng de qiánbāo 。
贪心让他不愿意分享。,Anh ta tham lam nên không muốn chia sẻ.,貪心讓他不願意分享。,tānxīn ràng tā bù yuànyì fēnxiǎng 。
贪图便宜，他选择了价格低的商品。,Anh ta chỉ vì ham rẻ nên đã chọn mua hàng có giá thấp.,貪圖便宜，他選擇了價格低的商品。,tāntúpiányi ， tā xuǎnzé le jiàgédī de shāngpǐn 。
贪得无厌，他不断索取更多。,Anh ta tham lam và không ngừng đòi hỏi thêm.,貪得無厭，他不斷索取更多。,tāndéwúyàn ， tā bùduàn suǒqǔ gèng duō 。
贪图一时之快，他选择了赌博。,Anh ta chỉ vì ham muốn nhanh chóng nên đã chọn chơi bạc.,貪圖一時之快，他選擇了賭博。,tāntú yīshí zhīkuài ， tā xuǎnzé le dǔbó 。
贪得无厌，他不顾一切地追求。,Anh ta tham lam và không xem xét gì cả để đạt được.,貪得無厭，他不顧一切地追求。,tāndéwúyàn ， tā bùgùyīqiè dì zhuīqiú 。
贪恋美食，他去了一家新开的餐厅。,Anh ta say mê đồ ăn nên đã đến một nhà hàng mới mở.,貪戀美食，他去了一家新開的餐廳。,tānliàn měishí ， tā qù le yījiā xīnkāi de cāntīng 。
贪图方便，他选择了快递而不是亲自送。,Anh ta chỉ vì tiện lợi nên đã chọn giao hàng thay vì giao trực tiếp.,貪圖方便，他選擇了快遞而不是親自送。,tāntú fāngbiàn ， tā xuǎnzé le kuàidì ér búshì qīnzì sòng 。
贪心让他不愿放下手中的工作。,Anh ta tham lam nên không muốn buông xuống công việc đang làm.,貪心讓他不願放下手中的工作。,tānxīn ràng tā bùyuàn fàngxià shǒuzhōng de gōngzuò 。
贪图享受，他常常去高档餐厅。,Anh ta chỉ vì ham vui nên thường xuyên đến các nhà hàng sang.,貪圖享受，他常常去高檔餐廳。,tāntúxiǎngshòu ， tā chángcháng qù gāodàng cāntīng 。
贪图安逸，他没有去参加户外活动。,Anh ta chỉ vì thích ở yên một chỗ nên không tham gia các hoạt động ngoài trời.,貪圖安逸，他沒有去參加戶外活動。,tāntúānyì ， tā méiyǒu qù cānjiā hùwàihuódòng 。
他家真的很贫，连饭都吃不饱。,"Nhà của họ rất nghèo, họ không đủ ăn mỗi ngày.",他家真的很貧，連飯都喫不飽。,tājiā zhēnde hěnpín ， liánfàn dōu chībùbǎo 。
那个地区的贫困状况令人担忧。,Tình trạng nghèo khó ở khu vực đó khiến mọi người lo lắng.,那個地區的貧困狀況令人擔憂。,nàge dìqū de pínkùn zhuàngkuàng lìngréndānyōu 。
他太贫了，连一辆自行车都买不起。,"Anh ta quá nghèo, đến cả một chiếc xe đạp cũng không mua nổi.",他太貧了，連一輛自行車都買不起。,tātàipín le ， lián yīliàng zìxíngchē dōu mǎibùqǐ 。
她家境贫寒，上学都得靠奖学金。,"Gia đình cô ta nghèo, cô ta phải dựa vào học bổng để đi học.",她家境貧寒，上學都得靠獎學金。,tā jiājìngpínhán ， shàngxué dōu dé kào jiǎngxuéjīn 。
这个城市的贫富差距越来越大了。,Sự cách biệt giàu nghèo ở thành phố này càng ngày càng lớn.,這個城市的貧富差距越來越大了。,zhège chéngshì de pínfùchājù yuèláiyuè dà le 。
他总是抱怨自己生活太贫。,Anh ta luôn than thở cuộc sống của mình quá nghèo.,他總是抱怨自己生活太貧。,tā zǒngshì bàoyuàn zìjǐ shēnghuó tàipín 。
那个地方因为资源贫瘠，经济一直不发达。,Địa phương đó nghèo về nguồn tài nguyên nên nền kinh tế luôn không phát triển.,那個地方因爲資源貧瘠，經濟一直不發達。,nàge dìfāng yīnwèi zīyuán pínjí ， jīngjì yìzhí bù fādá 。
她总是穿很朴素的衣服，给人一种很贫的感觉。,"Cô ta luôn mặc những bộ đồ rất giản dị, khiến người khác cảm thấy cô ta nghèo.",她總是穿很樸素的衣服，給人一種很貧的感覺。,tā zǒngshì chuān hěn pǔsù de yīfú ， gěi rén yīzhǒng hěnpín de gǎnjué 。
那个地区因为交通不便，很多资源都很贫乏。,Địa phương đó do giao thông không thuận lợi nên nhiều nguồn tài nguyên rất khan hiếm.,那個地區因爲交通不便，很多資源都很貧乏。,nàge dìqū yīnwèi jiāotōngbùbiàn ， hěnduō zīyuán dōu hěn pínfá 。
他因为太贫，连一部手机都没有。,Anh ta quá nghèo nên không có cả một chiếc điện thoại di động.,他因爲太貧，連一部手機都沒有。,tā yīnwèi tàipín ， lián yībù shǒujī dōu méiyǒu 。
那个村因为土地贫瘠，庄稼总是收成不好。,Xóm đó do đất quá nghèo nên cây trồng thường không có mùa tốt.,那個村因爲土地貧瘠，莊稼總是收成不好。,nàge cūn yīnwèi tǔdì pínjí ， zhuāngjià zǒngshì shōuchéng bùhǎo 。
他虽然贫穷，但内心却很富足。,Anh ta dù nghèo nhưng lòng vẫn đầy đủ.,他雖然貧窮，但內心卻很富足。,tā suīrán pínqióng ， dàn nèixīn què hěn fùzú 。
那个国家因为资源贫瘠，经济一直不发达。,Quốc gia đó do nguồn tài nguyên khan hiếm nên nền kinh tế luôn không phát triển.,那個國家因爲資源貧瘠，經濟一直不發達。,nàge guójiā yīnwèi zīyuán pínjí ， jīngjì yìzhí bù fādá 。
这个城市因为人口贫乏，商业不发达。,Thành phố này do dân cư nghèo nên thương mại không phát triển.,這個城市因爲人口貧乏，商業不發達。,zhège chéngshì yīnwèi rénkǒu pínfá ， shāngyè bù fādá 。
他因为太贫，连一顿丰盛的饭都吃不起。,Anh ta quá nghèo nên không thể ăn một bữa ăn ngon.,他因爲太貧，連一頓豐盛的飯都喫不起。,tā yīnwèi tàipín ， lián yīdùn fēngshèng de fàn dōu chībùqǐ 。
那个国家因为土地贫瘠，农业发展受阻。,Quốc gia đó do đất quá nghèo nên phát triển nông nghiệp bị cản trở.,那個國家因爲土地貧瘠，農業發展受阻。,nàge guójiā yīnwèi tǔdì pínjí ， nóngyè fāzhǎn shòuzǔ 。
他因为太贫，连一件像样的衣服都没有。,Anh ta quá nghèo nên không có một bộ đồ decent.,他因爲太貧，連一件像樣的衣服都沒有。,tā yīnwèi tàipín ， lián yījiàn xiàngyàng de yīfú dōu méiyǒu 。
那个地区因为矿产贫瘠，经济一直不发达。,Địa phương đó do khoáng sản khan hiếm nên nền kinh tế không phát triển.,那個地區因爲礦產貧瘠，經濟一直不發達。,nàge dìqū yīnwèi kuàngchǎn pínjí ， jīngjì yìzhí bù fādá 。
这个项目只花了贰百万。,Dự án này chỉ tiêu tốn hai triệu đồng.,這個項目只花了貳百萬。,zhège xiàngmù zhǐhuā le èr bǎiwàn 。
他贰话不说，直接动手。,"Anh ta không nói hai lời, lập tức bắt tay vào làm.",他貳話不說，直接動手。,tā èr huà bù shuō ， zhíjiē dòngshǒu 。
贰元硬币在中国已经很少见了。,Hạng tiền đồng hai đồng đã rất hiếm ở Trung Quốc.,貳元硬幣在中國已經很少見了。,èr yuán yìngbì zài zhōngguó yǐjīng hěnshǎo jiàn le 。
他贰次尝试都没有成功。,Anh ta đã thử hai lần nhưng không thành công.,他貳次嘗試都沒有成功。,tā èr cì chángshì dōu méiyǒu chénggōng 。
贰次相遇后，他们就成了好朋友。,"Sau hai lần gặp nhau, họ đã trở thành bạn thân.",貳次相遇後，他們就成了好朋友。,èrcì xiāngyù hòu ， tāmen jiù chéng le hǎo péngyǒu 。
贰审法院驳回了他的上诉。,Tòa án phúc thẩm đã bác bỏ yêu cầu kháng cáo của ông.,貳審法院駁回了他的上訴。,èr shěn fǎyuàn bóhuí le tā de shàngsù 。
贰月的天气真是多变。,Thời tiết tháng Hai thật sự thay đổi nhiều.,貳月的天氣真是多變。,èr yuè de tiānqì zhēnshì duōbiàn 。
贰元硬币现在已经退出流通了。,Hạng tiền đồng hai đồng đã được rút khỏi lưu thông.,貳元硬幣現在已經退出流通了。,èr yuán yìngbì xiànzài yǐjīng tuìchū liútōng le 。
贰手车市场正在迅速发展。,Thị trường xe cũ đang phát triển nhanh chóng.,貳手車市場正在迅速發展。,èr shǒuchē shìchǎng zhèngzài xùnsù fāzhǎn 。
贰次尝试后他终于成功了。,"Sau hai lần thử nghiệm, anh ta mới thành công.",貳次嘗試後他終於成功了。,èrcì chángshì hòu tā zhōngyú chénggōng le 。
贰手书通常比一手书便宜。,Bản sao hai tay thường rẻ hơn bản gốc.,貳手書通常比一手書便宜。,èr shǒushū tōngcháng bǐyī shǒushū piányi 。
贰方都同意这个协议。,Cả hai bên đều đồng ý với thỏa thuận này.,貳方都同意這個協議。,èrfāng dōu tóngyì zhège xiéyì 。
贰方商定的价格是贰万元。,Giá thỏa thuận giữa hai bên là hai triệu đồng.,貳方商定的價格是貳萬元。,èrfāng shāngdìng de jiàgé shì èr wànyuán 。
贰边的天气差异很大。,Sự chênh lệch về thời tiết giữa hai bên rất lớn.,貳邊的天氣差異很大。,èr biān de tiānqì chāyì hěndà 。
贰元硬币的重量是壹克。,Chiều nặng của một đồng tiền hai đồng là một gram.,貳元硬幣的重量是壹克。,èr yuán yìngbì de zhòngliàng shì yīkè 。
贰次尝试后他终于成功了。,"Sau hai lần thử, anh ta mới thành công.",貳次嘗試後他終於成功了。,èrcì chángshì hòu tā zhōngyú chénggōng le 。
他把照片贴在墙上。,Anh ta dán hình lên tường.,他把照片貼在牆上。,tā bǎ zhàopiān tiē zài qiángshàng 。
他把地址贴在快递盒上。,Anh ta dán địa chỉ lên hộp bưu phẩm.,他把地址貼在快遞盒上。,tā bǎ dìzhǐ tiē zài kuàidì héshàng 。
她把标签贴在苹果上。,Cô gái dán nhãn lên quả táo.,她把標籤貼在蘋果上。,tā bǎ biāoqiān tiē zài píngguǒ shàng 。
我将海报贴在了门上。,Tôi dán tờ rơi lên cánh cửa.,我將海報貼在了門上。,wǒ jiāng hǎibào tiē zài le ménshàng 。
他们把通知贴在公告板上。,Họ dán thông báo lên bảng thông báo.,他們把通知貼在公告板上。,tāmen bǎ tōngzhī tiē zài gōnggào bǎnshàng 。
他把便签贴在了冰箱上。,Anh ta dán sticky note lên tủ lạnh.,他把便籤貼在了冰箱上。,tā bǎ biànqiān tiē zài le bīngxiāng shàng 。
她把彩纸贴在了书上。,Cô gái dán giấy màu lên quyển sách.,她把彩紙貼在了書上。,tā bǎ cǎizhǐ tiē zài le shūshàng 。
他把照片贴在相册里。,Anh ta dán hình vào quyển album.,他把照片貼在相冊裏。,tā bǎ zhàopiān tiē zài xiàngcè lǐ 。
我们把宣传单贴在了墙上。,Chúng tôi dán tờ rơi lên tường.,我們把宣傳單貼在了牆上。,wǒmen bǎ xuānchuándān tiē zài le qiángshàng 。
他们把海报贴在了公交站牌上。,Họ dán tờ rơi lên bến xe bus.,他們把海報貼在了公交站牌上。,tāmen bǎ hǎibào tiē zài le gōngjiāozhàn páishàng 。
她把标签贴在了瓶盖上。,Cô gái dán nhãn lên nắp chai.,她把標籤貼在了瓶蓋上。,tā bǎ biāoqiān tiē zài le pínggài shàng 。
他把价格标签贴在了商品上。,Anh ta dán nhãn giá lên hàng hóa.,他把價格標籤貼在了商品上。,tā bǎ jiàgé biāoqiān tiē zài le shāngpǐn shàng 。
她把小贴纸贴在了贺卡上。,Cô gái dán sticker lên thiệp chúc mừng.,她把小貼紙貼在了賀卡上。,tā bǎ xiǎo tiēzhǐ tiē zài le hèkǎ shàng 。
他把地图贴在了墙上。,Anh ta dán bản đồ lên tường.,他把地圖貼在了牆上。,tā bǎ dìtú tiē zài le qiángshàng 。
他们把通知贴在了公告栏上。,Họ dán thông báo lên bảng thông báo.,他們把通知貼在了公告欄上。,tāmen bǎ tōngzhī tiē zài le gōnggàolán shàng 。
她把标签贴在了罐头上。,Cô gái dán nhãn lên chai lọ.,她把標籤貼在了罐頭上。,tā bǎ biāoqiān tiē zài le guàntou shàng 。
他把便签贴在了电脑屏幕上。,Anh ta dán sticky note lên màn hình máy tính.,他把便籤貼在了電腦屏幕上。,tā bǎ biànqiān tiē zài le diànnǎopíngmù shàng 。
他们把海报贴在了学校的门口。,Họ dán tờ rơi lên cổng trường học.,他們把海報貼在了學校的門口。,tāmen bǎ hǎibào tiē zài le xuéxiào de ménkǒu 。
她把便签贴在了镜子上。,Cô gái dán sticky note lên gương.,她把便籤貼在了鏡子上。,tā bǎ biànqiān tiē zài le jìngzi shàng 。
他把照片贴在了相框里。,Anh ta dán hình vào khung ảnh.,他把照片貼在了相框裏。,tā bǎ zhàopiān tiē zài le xiāngkuāng lǐ 。
她申请了一笔贷款。,Cô ấy đã nộp đơn để vay một khoản tiền.,她申請了一筆貸款。,tā shēnqǐng le yībǐ dàikuǎn 。
这家银行提供各种贷款产品。,Ngân hàng này cung cấp nhiều loại sản phẩm vay.,這家銀行提供各種貸款產品。,zhèjiā yínháng tígōng gèzhǒng dàikuǎn chǎnpǐn 。
他们用贷款买了一辆新车。,Họ đã mua chiếc xe mới bằng khoản vay.,他們用貸款買了一輛新車。,tāmen yòng dàikuǎn mǎi le yīliàng xīnchē 。
这笔贷款的利率很低。,Lãi suất của khoản vay này rất thấp.,這筆貸款的利率很低。,zhèbǐ dàikuǎn de lìlǜ hěn dī 。
他们拒绝了这个贷款申请。,Họ đã từ chối đơn vay của họ.,他們拒絕了這個貸款申請。,tāmen jùjué le zhège dàikuǎn shēnqǐng 。
这笔贷款的还款期限为五年。,Khoản vay này có thời hạn thanh toán là 5 năm.,這筆貸款的還款期限爲五年。,zhèbǐ dàikuǎn de háikuǎn qīxiàn wèi wǔnián 。
公司向供应商提供了信用贷款。,Công ty đã cấp cho nhà cung cấp một khoản vay tín dụng.,公司向供應商提供了信用貸款。,gōngsī xiàng gōngyìngshāng tígōng le xìnyòngdàikuǎn 。
他用贷款为新项目融资。,Anh ta đã sử dụng khoản vay để tài trợ cho dự án mới.,他用貸款爲新項目融資。,tā yòng dàikuǎn wèi xīn xiàngmù róngzī 。
这笔贷款的总额为一百万美元。,Tổng số tiền của khoản vay là một triệu đô la.,這筆貸款的總額爲一百萬美元。,zhèbǐ dàikuǎn de zǒngé wèi yìbǎiwànměiyuán 。
他们计划用贷款装修房子。,Họ dự định sử dụng khoản vay để sửa chữa ngôi nhà.,他們計劃用貸款裝修房子。,tāmen jìhuà yòng dàikuǎn zhuāngxiū fángzi 。
这笔贷款将用于扩大业务。,Khoản vay này sẽ được sử dụng để mở rộng hoạt động kinh doanh.,這筆貸款將用於擴大業務。,zhèbǐ dàikuǎn jiāng yòngyú kuòdà yèwù 。
她成功地偿还了贷款。,Cô ấy đã thành công trong việc trả lại khoản vay.,她成功地償還了貸款。,tā chénggōng dì chánghuán le dàikuǎn 。
这笔贷款的条件相当优惠。,Điều kiện của khoản vay rất ưu đãi.,這筆貸款的條件相當優惠。,zhèbǐ dàikuǎn de tiáojiàn xiāngdāng yōuhuì 。
他们讨论了贷款的细节。,Họ đã thảo luận về các chi tiết liên quan đến khoản vay.,他們討論了貸款的細節。,tāmen tǎolùn le dàikuǎn de xìjié 。
这笔贷款将用于研究开发。,Khoản vay này sẽ được sử dụng cho nghiên cứu và phát triển.,這筆貸款將用於研究開發。,zhèbǐ dàikuǎn jiāng yòngyú yánjiū kāifā 。
他得到了老板的特别赏识。,Ông ấy đã nhận được sự trọng dụng đặc biệt từ sếp.,他得到了老闆的特別賞識。,tā dédào le lǎobǎn de tèbié shǎngshí 。
赏花会让人感受到生活的美好。,Cuộc hội hoa sẽ làm người ta cảm nhận được sự tươi đẹp của cuộc sống.,賞花會讓人感受到生活的美好。,shǎnghuā huì ràng rén gǎnshòu dào shēnghuó de měihǎo 。
他被朋友邀请赏月。,Anh ấy được bạn bè mời đi ngắm trăng.,他被朋友邀請賞月。,tā bèi péngyǒu yāoqǐng shǎngyuè 。
赏识人才是公司成功的关键。,Trân trọng nhân tài là yếu tố quan trọng để công ty thành công.,賞識人才是公司成功的關鍵。,shǎngshí réncái shì gōngsī chénggōng de guānjiàn 。
他得到了老师的特别赏。,Anh ấy nhận được sự khen ngợi đặc biệt từ thầy giáo.,他得到了老師的特別賞。,tā dédào le lǎoshī de tèbié shǎng 。
赏罚分明是管理团队的重要原则。,Phân biệt rõ ràng giữa thưởng và phạt là nguyên tắc quản lý nhóm quan trọng.,賞罰分明是管理團隊的重要原則。,shǎngfáfēnmíng shì guǎnlǐ tuánduì de zhòngyào yuánzé 。
他得到了朋友的赏赐。,Anh ấy nhận được sự ban thưởng từ bạn bè.,他得到了朋友的賞賜。,tā dédào le péngyǒu de shǎngcì 。
赏识员工的创意是团队创新的关键。,Trân trọng ý tưởng của nhân viên là yếu tố quan trọng để tạo ra sự đổi mới trong nhóm.,賞識員工的創意是團隊創新的關鍵。,shǎngshí yuángōng de chuàngyì shì tuánduì chuàngxīn de guānjiàn 。
他得到了母亲的特别赏。,Anh ấy nhận được sự khen ngợi đặc biệt từ mẹ.,他得到了母親的特別賞。,tā dédào le mǔqīn de tèbié shǎng 。
赏月是中秋节的传统活动。,Ngắm trăng là hoạt động truyền thống trong đêm Rằm tháng Tám.,賞月是中秋節的傳統活動。,shǎngyuè shì zhōngqiūjié de chuántǒng huódòng 。
他得到了老师的特别赏识。,Anh ấy nhận được sự trọng dụng đặc biệt từ thầy.,他得到了老師的特別賞識。,tā dédào le lǎoshī de tèbié shǎngshí 。
赏玩自然能够让人放松心情。,Tận hưởng thiên nhiên có thể giúp người ta thư giãn.,賞玩自然能夠讓人放鬆心情。,shǎngwán zìrán nénggòu ràng rén fàngsōng xīnqíng 。
他得到了父亲的特别赏。,Anh ấy nhận được sự khen ngợi đặc biệt từ bố.,他得到了父親的特別賞。,tā dédào le fùqīn de tèbié shǎng 。
赏识员工的才华对公司的发展很重要。,Trân trọng tài năng của nhân viên đối với sự phát triển của công ty rất quan trọng.,賞識員工的才華對公司的發展很重要。,shǎngshí yuángōng de cáihuá duì gōngsī de fāzhǎn hěn zhòngyào 。
他得到了上司的特别赏识。,Anh ấy nhận được sự trọng dụng đặc biệt từ sếp.,他得到了上司的特別賞識。,tā dédào le shàngsī de tèbié shǎngshí 。
